Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Sessions - Total - B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
3/1/26,$435.82,$0.00,18,0,17,0,$25.64,$0.00,1.06,0.00,$24.21,$0.00,272,8,6.25%,0.00%,37
3/8/26,"$1,626.33",$152.94,67,6,63,4,$25.81,$38.24,1.06,1.50,$24.27,$25.49,"1,085",49,5.81%,8.16%,37
3/15/26,"$1,364.37",$13.99,63,1,59,1,$23.12,$13.99,1.07,1.00,$21.66,$13.99,963,49,6.13%,2.04%,38
3/22/26,"$1,336.46",$0.00,57,0,50,0,$26.73,$0.00,1.14,0.00,$23.45,$0.00,911,23,5.49%,0.00%,38
3/29/26,"$1,457.50",$53.98,50,2,49,2,$29.74,$26.99,1.02,1.00,$29.15,$26.99,"1,033",30,4.74%,6.67%,38
4/5/26,"$1,534.51",$0.00,49,0,48,0,$31.97,$0.00,1.02,0.00,$31.32,$0.00,995,31,4.82%,0.00%,39
4/12/26,"$1,637.39",$39.99,61,1,57,1,$28.73,$39.99,1.07,1.00,$26.84,$39.99,"1,005",19,5.67%,5.26%,38
4/19/26,"$1,320.57",$65.99,43,1,42,1,$31.44,$65.99,1.02,1.00,$30.71,$65.99,"1,022",17,4.11%,5.88%,39
4/26/26,"$1,413.49",$44.97,52,3,46,1,$30.73,$44.97,1.13,3.00,$27.18,$14.99,"1,019",25,4.51%,4.00%,42
5/3/26,"$1,927.40",$0.00,60,0,59,0,$32.67,$0.00,1.02,0.00,$32.12,$0.00,903,14,6.53%,0.00%,42
5/10/26,"$1,916.34",$65.99,67,1,60,1,$31.94,$65.99,1.12,1.00,$28.60,$65.99,"1,112",33,5.40%,3.03%,40
5/17/26,"$1,895.32",$0.00,68,0,65,0,$29.16,$0.00,1.05,0.00,$27.87,$0.00,"1,040",17,6.25%,0.00%,40
5/24/26,"$1,196.62",$39.99,38,1,38,1,$31.49,$39.99,1.00,1.00,$31.49,$39.99,956,13,3.97%,7.69%,39
5/31/26,$814.69,$29.98,31,2,29,1,$28.09,$29.98,1.07,2.00,$26.28,$14.99,687,15,4.22%,6.67%,39